Date,Open,High,Low,Close,Vol.
2014-03-20,595,598.4,560.3,566,4.24K
2014-03-21,566,587.4,540.2,549.6,3.82K
2014-03-22,549.6,570,537.2,564.3,3.77K
2014-03-23,564.3,564.3,538.6,551.2,4.13K
2014-03-24,551.2,572.5,531.3,567.6,3.67K
2014-03-25,567.6,569.7,550.4,562.9,3.87K
2014-03-26,562.9,575.4,546.3,562.5,3.71K
2014-03-27,562.5,567.8,460.5,460.5,3.78K
2014-03-28,460.5,515,453.8,482.6,4.11K
2014-03-29,482.6,494.3,473.8,477.1,4.29K
2014-03-30,477.1,479,424,446.9,3.86K
2014-03-31,446.9,473.4,422.5,444.7,4.15K
2014-04-01,444.7,487.4,438,463.5,3.97K
2014-04-02,463.5,480.3,409.3,424.4,4.38K
2014-04-03,424.4,448.7,386.7,436.3,4.02K
2014-04-04,436.3,456.5,415.5,444.4,2.57K
2014-04-05,444.4,461.2,439.4,456.6,1.16K
2014-04-06,456.6,472.4,446.3,455.7,3.59K
2014-04-07,455.7,485.1,448,462.4,3.95K
2014-04-08,462.4,480.7,457.6,466.6,3.91K
2014-04-09,466.6,479.7,451.1,457.3,3.88K
2014-04-10,457.3,463.5,384.6,384.6,3.65K
2014-04-11,384.6,450.4,355.7,435.1,5.16K
2014-04-12,435.1,469.8,428,437.6,5.19K
2014-04-13,437.6,454.1,409.9,427.6,4.97K
2014-04-14,427.6,497.8,420.1,478.4,7.62K
2014-04-15,478.4,526.6,466.4,526.4,8.00K
2014-04-16,526.4,549,496.1,537,8.06K
2014-04-17,537,537,486.9,502,8.00K
2014-04-18,502,512.2,472,485.5,8.36K
2014-04-19,485.5,516.9,473.2,506,8.38K
2014-04-20,506,522.2,488.7,498.5,7.69K
2014-04-21,498.5,524.7,490.7,495.2,7.35K
2014-04-22,495.2,520.5,483.4,487.9,5.68K
2014-04-23,487.9,510,482.3,487.3,4.74K
2014-04-24,487.3,507.3,477.2,500.3,4.23K
2014-04-25,500.3,502.5,438.3,464.5,6.45K
2014-04-26,464.5,468.7,448.6,457.9,6.89K
2014-04-27,457.9,461.4,437.4,443.2,6.96K
2014-04-28,443.2,451.1,420.8,441.9,4.54K
2014-04-29,441.9,453.8,430.7,446.1,3.72K
2014-04-30,446.1,452.6,430.9,445.6,4.08K
2014-05-01,445.6,464.5,444.5,460.1,4.20K
2014-05-02,460.1,463.4,442,453.7,3.38K
2014-05-03,453.7,454.2,429.1,438.6,2.58K
2014-05-04,438.6,446.6,428.8,436,3.37K
2014-05-05,436,443.9,426.4,430.9,3.04K
2014-05-06,430.9,435,420.2,432.2,4.19K
2014-05-07,432.2,458.8,423.5,446.5,5.03K
2014-05-08,446.5,455.5,439.5,441.1,2.54K
2014-05-09,441.1,455.8,438.5,445.5,2.27K
2014-05-10,445.5,459.5,441.4,451.9,0.45K
2014-05-11,451.9,455.4,429,433.2,1.89K
2014-05-12,433.2,441.1,430.2,438.2,1.39K
2014-05-13,438.2,442.3,432.7,433.9,2.65K
2014-05-14,433.9,444.3,433.9,442.6,2.20K
2014-05-15,442.6,450,441.5,448.1,2.17K
2014-05-16,448.1,455.1,441.9,453.6,1.76K
2014-05-17,453.6,455.9,452.2,452.8,1.71K
2014-05-18,452.8,454,449,450.1,1.45K
2014-05-19,450.1,451.7,441.2,443.9,1.35K
2014-05-20,443.9,486.2,437.3,484.6,1.90K
2014-05-21,484.6,495.2,481.7,488.8,1.40K
2014-05-22,488.8,519.3,485.5,515.4,3.12K
2014-05-23,515.4,540.9,515.2,518.1,2.76K
2014-05-24,518.1,526.7,510.4,520.5,2.86K
2014-05-25,520.5,575.2,520.5,570.4,1.87K
2014-05-26,570.4,586.4,564.7,582,2.96K
2014-05-27,582,586.2,555.3,570.1,3.35K
2014-05-28,570.1,581.8,562.6,570.8,3.57K
2014-05-29,570.8,573.8,557.7,564.4,3.73K
2014-05-30,564.4,613.3,564,612.3,6.21K
2014-05-31,612.3,629,604.7,627.9,4.41K
2014-06-01,627.9,675,622,649.8,3.55K
2014-06-02,649.8,662.6,625.5,655.5,4.13K
2014-06-03,655.5,676.5,631.4,669.4,4.36K
2014-06-04,669.4,669.8,602.1,638.9,5.60K
2014-06-05,638.9,665.4,635.6,660.2,2.76K
2014-06-06,660.2,663.8,647.1,650.4,6.04K
2014-06-07,650.4,659.8,641,651.7,1.97K
2014-06-08,651.7,658.9,648.7,651,3.31K
2014-06-09,651,652.1,639.1,644.3,3.26K
